Date,Temp_C
2020-01-01,3.0
2020-01-02,7.2
2020-01-03,9.6
2020-01-04,6.0
2020-01-05,5.4
2020-01-06,3.4
2020-01-07,7.9
2020-01-08,11.1
2020-01-09,11.3
2020-01-10,7.2
2020-01-11,4.5
2020-01-12,6.1
2020-01-13,8.3
2020-01-14,10.0
2020-01-15,9.7
2020-01-16,8.4
2020-01-17,9.0
2020-01-18,4.6
2020-01-19,3.0
2020-01-20,2.3
2020-01-21,0.3
2020-01-22,-1.0
2020-01-23,0.1
2020-01-24,-0.5
2020-01-25,0.3
2020-01-26,5.1
2020-01-27,8.3
2020-01-28,5.9
2020-01-29,6.1
2020-01-30,8.3
2020-01-31,11.8
2020-02-01,12.2
2020-02-02,12.6
2020-02-03,11.8
2020-02-04,6.4
2020-02-05,6.1
2020-02-06,3.5
2020-02-07,5.3
2020-02-08,8.5
2020-02-09,9.7
2020-02-10,9.6
2020-02-11,6.1
2020-02-12,5.7
2020-02-13,8.1
2020-02-14,9.0
2020-02-15,10.2
2020-02-16,13.6
2020-02-17,8.8
2020-02-18,7.0
2020-02-19,7.1
2020-02-20,8.4
2020-02-21,5.9
2020-02-22,8.2
2020-02-23,11.1
2020-02-24,11.3
2020-02-25,8.2
2020-02-26,4.1
2020-02-27,5.1
2020-02-28,5.2
2020-02-29,8.9
2020-03-01,6.0
2020-03-02,6.3
2020-03-03,4.8
2020-03-04,5.4
2020-03-05,8.7
2020-03-06,6.3
2020-03-07,6.7
2020-03-08,8.6
2020-03-09,7.6
2020-03-10,11.1
2020-03-11,13.5
2020-03-12,10.4
2020-03-13,7.2
2020-03-14,7.6
2020-03-15,9.9
2020-03-16,8.8
2020-03-17,9.3
2020-03-18,11.2
2020-03-19,12.1
2020-03-20,11.0
2020-03-21,7.3
2020-03-22,7.1
2020-03-23,5.6
2020-03-24,5.2
2020-03-25,5.2
2020-03-26,5.2
2020-03-27,7.0
2020-03-28,9.0
2020-03-29,5.8
2020-03-30,4.1
2020-03-31,5.9
2020-04-01,5.5
2020-04-02,5.3
2020-04-03,9.2
2020-04-04,10.3
2020-04-05,12.4
2020-04-06,11.6
2020-04-07,14.2
2020-04-08,15.6
2020-04-09,16.6
2020-04-10,16.5
2020-04-11,17.1
2020-04-12,16.7
2020-04-13,12.4
2020-04-14,7.8
2020-04-15,11.0
2020-04-16,15.6
2020-04-17,16.9
2020-04-18,16.3
2020-04-19,14.2
2020-04-20,15.7
2020-04-21,15.7
2020-04-22,15.8
2020-04-23,16.5
2020-04-24,17.0
2020-04-25,14.8
2020-04-26,13.3
2020-04-27,16.1
2020-04-28,14.9
2020-04-29,12.5
2020-04-30,11.3
2020-05-01,11.3
2020-05-02,11.4
2020-05-03,12.5
2020-05-04,14.6
2020-05-05,12.3
2020-05-06,13.9
2020-05-07,14.2
2020-05-08,15.6
2020-05-09,17.5
2020-05-10,16.8
2020-05-11,9.8
2020-05-12,9.3
2020-05-13,10.4
2020-05-14,10.3
2020-05-15,11.3
2020-05-16,12.7
2020-05-17,13.4
2020-05-18,15.4
2020-05-19,16.3
2020-05-20,19.7
2020-05-21,22.0
2020-05-22,20.0
2020-05-23,15.2
2020-05-24,14.3
2020-05-25,16.5
2020-05-26,18.4
2020-05-27,19.7
2020-05-28,18.6
2020-05-29,18.8
2020-05-30,18.8
2020-05-31,18.4
2020-06-01,19.6
2020-06-02,21.7
2020-06-03,20.0
2020-06-04,14.1
2020-06-05,13.6
2020-06-06,14.2
2020-06-07,13.7
2020-06-08,14.7
2020-06-09,13.6
2020-06-10,14.5
2020-06-11,16.5
2020-06-12,16.5
2020-06-13,17.2
2020-06-14,17.2
2020-06-15,17.5
2020-06-16,17.5
2020-06-17,17.0
2020-06-18,16.2
2020-06-19,16.4
2020-06-20,18.6
2020-06-21,17.7
2020-06-22,17.3
2020-06-23,21.3
2020-06-24,25.1
2020-06-25,26.5
2020-06-26,24.6
2020-06-27,20.1
2020-06-28,18.4
2020-06-29,17.5
2020-06-30,18.9
2020-07-01,19.7
2020-07-02,17.6
2020-07-03,17.4
2020-07-04,19.2
2020-07-05,20.4
2020-07-06,16.2
2020-07-07,17.3
2020-07-08,20.2
2020-07-09,23.1
2020-07-10,19.1
2020-07-11,17.7
2020-07-12,19.0
2020-07-13,20.7
2020-07-14,18.3
2020-07-15,18.3
2020-07-16,18.3
2020-07-17,20.7
2020-07-18,21.8
2020-07-19,22.0
2020-07-20,20.5
2020-07-21,19.6
2020-07-22,19.6
2020-07-23,20.9
2020-07-24,20.7
2020-07-25,21.0
2020-07-26,20.6
2020-07-27,23.0
2020-07-28,20.4
2020-07-29,19.3
2020-07-30,23.2
2020-07-31,28.3
2020-08-01,23.8
2020-08-02,20.4
2020-08-03,18.2
2020-08-04,19.0
2020-08-05,22.5
2020-08-06,25.2
2020-08-07,27.7
2020-08-08,29.1
2020-08-09,30.2
2020-08-10,27.7
2020-08-11,28.5
2020-08-12,27.9
2020-08-13,23.5
2020-08-14,21.2
2020-08-15,21.5
2020-08-16,21.0
2020-08-17,19.2
2020-08-18,20.7
2020-08-19,21.0
2020-08-20,24.8
2020-08-21,23.8
2020-08-22,20.7
2020-08-23,18.5
2020-08-24,17.9
2020-08-25,20.4
2020-08-26,19.3
2020-08-27,18.6
2020-08-28,16.9
2020-08-29,14.7
2020-08-30,14.9
2020-08-31,15.4
2020-09-01,15.2
2020-09-02,15.5
2020-09-03,20.3
2020-09-04,21.2
2020-09-05,17.1
2020-09-06,15.0
2020-09-07,16.2
2020-09-08,18.6
2020-09-09,20.4
2020-09-10,20.6
2020-09-11,20.4
2020-09-12,17.2
2020-09-13,18.9
2020-09-14,22.9
2020-09-15,25.1
2020-09-16,23.7
2020-09-17,20.9
2020-09-18,21.3
2020-09-19,24.0
2020-09-20,21.4
2020-09-21,19.3
2020-09-22,17.9
2020-09-23,18.1
2020-09-24,13.4
2020-09-25,11.4
2020-09-26,11.6
2020-09-27,11.9
2020-09-28,13.4
2020-09-29,15.5
2020-09-30,15.7
2020-10-01,13.8
2020-10-02,12.7
2020-10-03,11.5
2020-10-04,11.4
2020-10-05,12.0
2020-10-06,13.2
2020-10-07,13.8
2020-10-08,15.9
2020-10-09,14.5
2020-10-10,11.3
2020-10-11,10.3
2020-10-12,10.0
2020-10-13,10.0
2020-10-14,9.1
2020-10-15,9.1
2020-10-16,9.1
2020-10-17,9.8
2020-10-18,9.3
2020-10-19,9.1
2020-10-20,13.0
2020-10-21,16.6
2020-10-22,15.4
2020-10-23,14.7
2020-10-24,13.8
2020-10-25,12.5
2020-10-26,9.8
2020-10-27,10.1
2020-10-28,12.0
2020-10-29,12.4
2020-10-30,14.1
2020-10-31,13.5
2020-11-01,16.2
2020-11-02,16.0
2020-11-03,8.7
2020-11-04,6.0
2020-11-05,6.4
2020-11-06,7.0
2020-11-07,11.5
2020-11-08,13.4
2020-11-09,12.0
2020-11-10,11.6
2020-11-11,10.5
2020-11-12,11.1
2020-11-13,11.9
2020-11-14,12.9
2020-11-15,13.4
2020-11-16,11.2
2020-11-17,11.2
2020-11-18,10.9
2020-11-19,9.6
2020-11-20,6.3
