Date,trains_prevus,annulations,retards_15,ponctualite_pct
2018-01-01,35260,266,3496,90.09
2018-02-01,32419,733,4959,84.7
2018-03-01,35458,929,3415,90.37
2018-04-01,36243,11841,2647,92.7
2018-05-01,36111,8860,3195,91.15
2018-06-01,36196,5477,4285,88.16
2018-07-01,35638,1942,6703,81.19
2018-08-01,33826,391,4058,88.0
2018-09-01,33306,162,3258,90.22
2018-10-01,33175,314,3561,89.27
2018-11-01,33739,372,3840,88.62
2018-12-01,33282,313,3140,90.57
2019-01-01,34280,481,3755,89.05
2019-02-01,31099,376,2492,91.99
2019-03-01,34307,342,2657,92.26
2019-04-01,32071,248,2256,92.97
2019-05-01,34075,652,2329,93.17
2019-06-01,33899,1133,3792,88.81
2019-07-01,35528,1685,3948,88.89
2019-08-01,31972,488,2985,90.66
2019-09-01,32638,302,2549,92.19
2019-10-01,32648,1030,3813,88.32
2019-11-01,30640,710,3132,89.78
2019-12-01,15633,2508,1618,89.65
2020-01-01,26940,1497,2281,91.53
2020-02-01,31293,349,2474,92.09
2020-03-01,20727,1983,2068,90.02
2020-04-01,3325,2030,301,90.95
2020-05-01,12129,2035,582,95.2
2020-06-01,21908,1334,1381,93.7
2020-07-01,30361,603,2459,91.9
2020-08-01,30482,292,2406,92.11
2020-09-01,31232,197,2124,93.2
2020-10-01,21364,363,2373,88.89
2020-11-01,9757,1555,656,93.28
2020-12-01,24335,1516,1458,94.01
2021-01-01,29661,143,2659,91.04
2021-02-01,26347,235,2158,91.81
2021-03-01,27571,950,1252,95.46
2021-04-01,30993,11611,798,97.43
2021-05-01,30841,1865,1967,93.62
2021-06-01,31602,41,2867,90.93
2021-07-01,34998,244,3104,91.13
2021-08-01,35160,51,2634,92.51
2021-09-01,33089,275,2840,91.42
2021-10-01,33930,391,3286,90.32
2021-11-01,32873,79,3724,88.67
2021-12-01,36022,634,3107,91.37
2022-01-01,35350,556,2250,93.64
2022-02-01,32115,233,1807,94.37
2022-03-01,36385,249,2743,92.46
2022-04-01,36470,95,3749,89.72
2022-05-01,37466,70,3674,90.19
2022-06-01,36473,196,5258,85.58
2022-07-01,38450,414,7177,81.33
2022-08-01,38460,102,4908,87.24
2022-09-01,36107,298,3106,91.4
2022-10-01,37136,290,3764,89.86
2022-11-01,35397,60,3189,90.99
2022-12-01,37896,4299,3807,89.95
2023-01-01,37666,1996,3354,91.1
2023-02-01,33453,1342,2472,92.61
2023-03-01,37496,8723,3011,91.97
2023-04-01,36475,1172,3714,89.82
2023-05-01,36849,419,3441,90.66
2023-06-01,37168,203,4973,86.62
2023-07-01,37782,115,4852,87.16
2023-08-01,38190,166,4563,88.05
2023-09-01,37747,177,4125,89.07
2023-10-01,38128,109,3968,89.59
2023-11-01,36366,710,4244,88.33
2023-12-01,38224,350,3693,90.34
2024-01-01,37579,544,3974,89.42
2024-02-01,35165,1612,2756,92.16
2024-03-01,37226,213,3584,90.37
2024-04-01,37181,75,3395,90.87
2024-05-01,37779,135,3196,91.54
2024-06-01,37387,179,3759,89.95
2024-07-01,38239,1041,4839,87.35
2024-08-01,37729,152,3113,91.75
2024-09-01,37081,168,3885,89.52
2024-10-01,38114,212,2986,92.17
2024-11-01,34217,319,3986,88.35
2024-12-01,37267,237,3655,90.19
2025-01-01,37836,466,3873,89.76
2025-02-01,33587,344,3106,90.75
2025-03-01,37186,179,3156,91.51
2025-04-01,36656,284,2866,92.18
2025-05-01,36720,290,2943,91.99
2025-06-01,36429,202,4784,86.87
2025-07-01,37569,394,5213,86.12
2025-08-01,36819,206,4581,87.56
2025-09-01,36365,345,4590,87.38
2025-10-01,37377,312,4598,87.7
2025-11-01,35062,177,4838,86.2
2025-12-01,36438,153,4647,87.25
